cohort	patient_id	specimen_id	focus_id	aliquot_id	assay_id	source_id	source_origin_id	platform	modality	match_evidence	match_status	rule_version	inclusion	reason	synthetic
TCGA-SYN	TCGA-0006	TCGA-0006-01A	F1	TCGA-0006-01A-RNA	TCGA-0006-01A-RNA	syn.tcga.star.0006	syn.tcga.star.0006	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0006	TCGA-0006-01A	F1	TCGA-0006-01A-METH	TCGA-0006-01A-METH	syn.tcga.meth.0006	syn.tcga.meth.0006	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0007	TCGA-0007-01A	F1	TCGA-0007-01A-RNA	TCGA-0007-01A-RNA	syn.tcga.star.0007	syn.tcga.star.0007	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0007	TCGA-0007-01A	F1	TCGA-0007-01A-METH	TCGA-0007-01A-METH	syn.tcga.meth.0007	syn.tcga.meth.0007	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0008	TCGA-0008-01A	F1	TCGA-0008-01A-RNA	TCGA-0008-01A-RNA	syn.tcga.star.0008	syn.tcga.star.0008	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0008	TCGA-0008-01A	F1	TCGA-0008-01A-METH	TCGA-0008-01A-METH	syn.tcga.meth.0008	syn.tcga.meth.0008	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0009	TCGA-0009-01A	F1	TCGA-0009-01A-RNA	TCGA-0009-01A-RNA	syn.tcga.star.0009	syn.tcga.star.0009	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0009	TCGA-0009-01A	F1	TCGA-0009-01A-METH	TCGA-0009-01A-METH	syn.tcga.meth.0009	syn.tcga.meth.0009	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0010	TCGA-0010-01A	F1	TCGA-0010-01A-RNA	TCGA-0010-01A-RNA	syn.tcga.star.0010	syn.tcga.star.0010	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0010	TCGA-0010-01A	F1	TCGA-0010-01A-METH	TCGA-0010-01A-METH	syn.tcga.meth.0010	syn.tcga.meth.0010	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0011	TCGA-0011-01A	F1	TCGA-0011-01A-RNA	TCGA-0011-01A-RNA	syn.tcga.star.0011	syn.tcga.star.0011	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0011	TCGA-0011-01A	F1	TCGA-0011-01A-METH	TCGA-0011-01A-METH	syn.tcga.meth.0011	syn.tcga.meth.0011	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0012	TCGA-0012-01A	F1	TCGA-0012-01A-RNA	TCGA-0012-01A-RNA	syn.tcga.star.0012	syn.tcga.star.0012	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0012	TCGA-0012-01A	F1	TCGA-0012-01A-METH	TCGA-0012-01A-METH	syn.tcga.meth.0012	syn.tcga.meth.0012	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0013	TCGA-0013-01A	F1	TCGA-0013-01A-RNA	TCGA-0013-01A-RNA	syn.tcga.star.0013	syn.tcga.star.0013	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0013	TCGA-0013-01A	F1	TCGA-0013-01A-METH	TCGA-0013-01A-METH	syn.tcga.meth.0013	syn.tcga.meth.0013	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0014	TCGA-0014-01A	F1	TCGA-0014-01A-RNA	TCGA-0014-01A-RNA	syn.tcga.star.0014	syn.tcga.star.0014	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0014	TCGA-0014-01A	F1	TCGA-0014-01A-METH	TCGA-0014-01A-METH	syn.tcga.meth.0014	syn.tcga.meth.0014	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0015	TCGA-0015-01A	F1	TCGA-0015-01A-RNA	TCGA-0015-01A-RNA	syn.tcga.star.0015	syn.tcga.star.0015	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0015	TCGA-0015-01A	F1	TCGA-0015-01A-METH	TCGA-0015-01A-METH	syn.tcga.meth.0015	syn.tcga.meth.0015	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
CPC-SYN	CPCG0001	CPCG0001-F1	F1	CPCG0001-expr	CPCG0001	syn.cpc.expression	syn.cpc.expression	HuGene-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
CPC-SYN	CPCG0001	CPCG0001-F1	F1	CPCG0001-meth-rep1	CPCG0001_rep1	syn.cpc.methylation	syn.cpc.methylation	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	synthetic-same-focus-replicate	true
CPC-SYN	CPCG0001	CPCG0001-F1	F1	CPCG0001-meth-rep2	CPCG0001_rep2	syn.cpc.methylation	syn.cpc.methylation	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	synthetic-same-focus-replicate	true
CPC-SYN	CPCG0002	CPCG0002-F1	F1	CPCG0002-expr	CPCG0002	syn.cpc.expression	syn.cpc.expression	HuGene-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
CPC-SYN	CPCG0002	CPCG0002-F1	F1	CPCG0002-meth	CPCG0002_rep1	syn.cpc.methylation	syn.cpc.methylation	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
CPC-SYN	CPCG0003	CPCG0003-F1	F1	CPCG0003-expr	CPCG0003	syn.cpc.expression	syn.cpc.expression	HuGene-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
CPC-SYN	CPCG0003	CPCG0003-F1	F1	CPCG0003-meth	CPCG0003_rep1	syn.cpc.methylation	syn.cpc.methylation	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
